Linux 3.13.0-105-generic (ip-172-31-10-198) 	01/06/2017 	_x86_64_	(1 CPU)

04:30:31 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:32 AM     all      0.00      0.00      0.00      3.00      0.00     97.00
04:30:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:43 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:30:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:45 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:30:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:51 AM     all     14.29      0.00      1.02      0.00      1.02     83.67
04:30:52 AM     all      5.81      1.16      5.81      2.33      0.00     84.88
04:30:53 AM     all     18.82      0.00      4.71      4.71      0.00     71.76
04:30:54 AM     all      3.80      0.00      2.53      2.53      1.27     89.87
04:30:55 AM     all      4.88      0.00      3.66      1.22      0.00     90.24
04:30:56 AM     all     19.28      0.00      2.41      0.00      1.20     77.11
04:30:57 AM     all      3.66      0.00      7.32      0.00      0.00     89.02
04:30:58 AM     all     17.98      0.00     12.36      4.49      0.00     65.17
04:30:59 AM     all      8.43      0.00      7.23      1.20      1.20     81.93
04:31:00 AM     all      2.44      0.00      4.88      2.44      1.22     89.02
04:31:01 AM     all      4.76      0.00      5.95      0.00      0.00     89.29
04:31:02 AM     all      9.64      0.00      6.02      0.00      0.00     84.34
04:31:03 AM     all      8.54      0.00      6.10      1.22      1.22     82.93
04:31:04 AM     all     13.10     14.29     13.10     17.86      0.00     41.67
04:31:05 AM     all     10.34      6.90     10.34      2.30      1.15     68.97
04:31:06 AM     all      7.59     10.13      6.33      3.80      0.00     72.15
04:31:07 AM     all      9.30      9.30      9.30      4.65      1.16     66.28
04:31:08 AM     all     11.90      8.33      9.52      4.76      0.00     65.48
04:31:09 AM     all     22.47      8.99     16.85      4.49      1.12     46.07
04:31:10 AM     all     12.35      8.64      9.88      4.94      0.00     64.20
04:31:11 AM     all     11.11      0.00      4.94      0.00      0.00     83.95
04:31:12 AM     all      6.10      0.00      4.88      3.66      1.22     84.15
04:31:13 AM     all      8.05      0.00      6.90      2.30      1.15     81.61
04:31:14 AM     all     19.05      0.00     11.90      3.57      0.00     65.48
04:31:15 AM     all      5.00      0.00      5.00      3.75      0.00     86.25
04:31:16 AM     all      6.17      0.00      3.70      0.00      1.23     88.89
04:31:17 AM     all      9.64      0.00      6.02      0.00      1.20     83.13
04:31:18 AM     all      7.32      0.00      6.10      3.66      0.00     82.93
04:31:19 AM     all     28.74      0.00     13.79      0.00      0.00     57.47
04:31:20 AM     all     17.65      0.00      8.24      1.18      0.00     72.94
04:31:21 AM     all     11.00      0.00      0.00      0.00      1.00     88.00
04:31:22 AM     all      9.00      0.00      0.00      0.00      0.00     91.00
04:31:23 AM     all      9.09      0.00      0.00      0.00      0.00     90.91
04:31:24 AM     all     20.20      0.00      0.00      0.00      0.00     79.80
04:31:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:28 AM     all      0.99      0.00      0.00      0.99      0.00     98.02
04:31:29 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:32 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:31:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:38 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:31:39 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:31:40 AM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:31:41 AM     all      0.99      0.00      0.99      0.00      0.00     98.02
04:31:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:44 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:31:45 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:31:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:47 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:31:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:54 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:31:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:32:10 AM     all      7.92      0.00      2.97      0.99      0.99     87.13
04:32:11 AM     all     35.29      0.00     10.59      4.71      0.00     49.41
04:32:12 AM     all     28.38      0.00     13.51     21.62      0.00     36.49
04:32:13 AM     all     22.78      0.00     18.99     41.77      0.00     16.46
04:32:14 AM     all     20.48      0.00      9.64     10.84      1.20     57.83
04:32:15 AM     all     18.92      0.00     14.86     55.41      0.00     10.81
04:32:16 AM     all      7.50      0.00      7.50      8.75      1.25     75.00
04:32:17 AM     all     33.33      0.00     22.62     16.67      0.00     27.38
04:32:18 AM     all     23.17      0.00     10.98     42.68      0.00     23.17
04:32:19 AM     all     21.25      0.00      8.75      7.50      0.00     62.50
04:32:20 AM     all     36.17     17.02     24.47     21.28      1.06      0.00
04:32:21 AM     all     13.48      7.87     13.48      8.99      0.00     56.18
04:32:22 AM     all     14.29      9.52     13.10      9.52      1.19     52.38
04:32:23 AM     all     40.22      6.52     20.65     10.87      0.00     21.74
04:32:24 AM     all     12.20      8.54      8.54     70.73      0.00      0.00
04:32:25 AM     all     10.71      9.52     13.10     17.86      0.00     48.81
04:32:26 AM     all      9.64      6.02      7.23     14.46      0.00     62.65
04:32:27 AM     all     24.42      6.98     17.44     36.05      1.16     13.95
04:32:28 AM     all     15.29      8.24      8.24     10.59      0.00     57.65
04:32:29 AM     all     15.85      4.88      6.10     15.85      1.22     56.10
04:32:30 AM     all     16.25      2.50     10.00     15.00      0.00     56.25
04:32:31 AM     all     20.24      5.95     14.29     53.57      0.00      5.95
04:32:32 AM     all      8.43      3.61      6.02      4.82      1.20     75.90
04:32:33 AM     all     19.54      4.60     11.49      6.90      0.00     57.47
04:32:34 AM     all     14.77      2.27     11.36     70.45      0.00      1.14
04:32:35 AM     all     17.86      7.14     19.05     33.33      1.19     21.43
04:32:36 AM     all     12.50      7.50      7.50     21.25      0.00     51.25
04:32:37 AM     all     20.73      4.88     12.20     62.20      0.00      0.00
04:32:38 AM     all      7.41      7.41      7.41     13.58      0.00     64.20
04:32:39 AM     all     27.38      4.76     13.10     20.24      1.19     33.33
04:32:40 AM     all     18.60      5.81     15.12     56.98      0.00      3.49
04:32:41 AM     all     10.71      5.95      3.57      2.38      1.19     76.19
04:32:42 AM     all     10.00      3.75     10.00     16.25      0.00     60.00
04:32:43 AM     all     17.65      5.88     15.29     61.18      0.00      0.00
04:32:44 AM     all     16.00      5.33      6.67     53.33      0.00     18.67
04:32:45 AM     all     11.63      5.81      6.98     12.79      1.16     61.63
04:32:46 AM     all     14.29      5.95     11.90     67.86      0.00      0.00
04:32:47 AM     all     10.98      3.66      6.10      9.76      1.22     68.29
04:32:48 AM     all     14.12      5.88      5.88     18.82      0.00     55.29
04:32:49 AM     all     19.75      4.94     16.05     50.62      0.00      8.64
04:32:50 AM     all     13.25      3.61      8.43     19.28      0.00     55.42
04:32:51 AM     all     10.47      5.81     10.47     17.44      1.16     54.65
04:32:52 AM     all      9.76      2.44     12.20      8.54      0.00     67.07
04:32:53 AM     all     13.10      5.95      9.52     65.48      1.19      4.76
04:32:54 AM     all     35.71      1.19     11.90     22.62      0.00     28.57
04:32:55 AM     all     21.69      0.00     10.84      4.82      0.00     62.65
04:32:56 AM     all     20.25      0.00     20.25     43.04      0.00     16.46
04:32:57 AM     all     13.33      0.00     12.00      1.33      1.33     72.00
04:32:58 AM     all     29.87      0.00     11.69      6.49      0.00     51.95
04:32:59 AM     all     25.61      0.00     17.07     46.34      1.22      9.76
04:33:00 AM     all     25.00      0.00     16.25     12.50      0.00     46.25
04:33:01 AM     all     18.52      0.00      9.88     11.11      0.00     60.49
04:33:02 AM     all     21.69      0.00     15.66     45.78      1.20     15.66
04:33:03 AM     all     26.32      0.00     11.84     23.68      0.00     38.16
