Linux 3.13.0-105-generic (ip-172-31-10-198) 	01/06/2017 	_x86_64_	(1 CPU)

04:45:31 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:45:32 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:45:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:38 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:40 AM     all      0.99      0.00      0.00      0.99      0.00     98.02
04:45:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:44 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:45:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:46 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:45:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:48 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:45:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:50 AM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:45:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:56 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:45:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:45:59 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:46:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:02 AM     all      0.98      0.00      0.98      0.00      0.00     98.04
04:46:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:04 AM     all      0.98      0.00      0.98      0.98      0.00     97.06
04:46:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:07 AM     all      0.98      0.00      0.98      0.00      0.00     98.04
04:46:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:10 AM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:46:11 AM     all      5.62      0.00      1.12      0.00      0.00     93.26
04:46:12 AM     all      5.95      0.00      2.38      2.38      1.19     88.10
04:46:13 AM     all      3.80      0.00      2.53      0.00      1.27     92.41
04:46:14 AM     all      5.06      0.00      2.53      0.00      0.00     92.41
04:46:15 AM     all      3.75      0.00      5.00      0.00      0.00     91.25
04:46:16 AM     all     18.60      0.00      8.14      3.49      1.16     68.60
04:46:17 AM     all      3.75      0.00      6.25      3.75      0.00     86.25
04:46:18 AM     all      3.61      0.00      7.23      0.00      1.20     87.95
04:46:19 AM     all      7.69      0.00      2.56      0.00      0.00     89.74
04:46:20 AM     all      4.94      0.00      4.94      0.00      0.00     90.12
04:46:21 AM     all     11.11      0.00     11.11      9.88      1.23     66.67
04:46:22 AM     all      6.10      0.00      6.10      0.00      1.22     86.59
04:46:23 AM     all      2.53      0.00      6.33      1.27      0.00     89.87
04:46:24 AM     all      6.10      0.00      4.88      0.00      0.00     89.02
04:46:25 AM     all     33.33      0.00      4.60      0.00      1.15     60.92
04:46:26 AM     all     38.64      0.00     10.23      1.14      0.00     50.00
04:46:27 AM     all      8.54      0.00      4.88      2.44      1.22     82.93
04:46:28 AM     all      6.33      0.00      3.80      0.00      0.00     89.87
04:46:29 AM     all      3.75      0.00      5.00      0.00      0.00     91.25
04:46:30 AM     all      8.43      0.00      6.02      1.20      1.20     83.13
04:46:31 AM     all     15.91      9.09     15.91     10.23      0.00     48.86
04:46:32 AM     all      6.17      6.17      9.88      3.70      1.23     72.84
04:46:33 AM     all      6.33      6.33      8.86      2.53      0.00     75.95
04:46:34 AM     all      7.50      6.25      6.25      2.50      1.25     76.25
04:46:35 AM     all      8.00      5.33      5.33      4.00      0.00     77.33
04:46:36 AM     all     18.39      6.90     12.64      8.05      1.15     52.87
04:46:37 AM     all      6.33      6.33      6.33      0.00      0.00     81.01
04:46:38 AM     all      7.32      8.54      8.54      2.44      0.00     73.17
04:46:39 AM     all      3.19      3.19      6.38      3.19      1.06     82.98
04:46:40 AM     all      3.00      0.00      0.00      0.00      0.00     97.00
04:46:41 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:46:42 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:46:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:44 AM     all      0.98      0.00      0.98      0.00      0.00     98.04
04:46:45 AM     all      1.00      0.00      0.00      2.00      0.00     97.00
04:46:46 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
04:46:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:48 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:46:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:55 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:46:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:46:58 AM     all      3.00      0.00      0.00      0.00      0.00     97.00
04:46:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:00 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:47:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:02 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:47:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:08 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:47:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:47:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
