Linux 3.13.0-105-generic (ip-172-31-10-198) 	01/06/2017 	_x86_64_	(1 CPU)

05:47:35 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:47:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:37 AM     all      1.01      0.00      0.00      0.00      0.00     98.99
05:47:38 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:47:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:43 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:47:44 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:46 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:47:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:52 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:47:53 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
05:47:54 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:47:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:47:57 AM     all      5.00      0.00      1.00      1.00      0.00     93.00
05:47:58 AM     all      2.35      0.00      1.18      0.00      0.00     96.47
05:47:59 AM     all      4.65      0.00      2.33      2.33      1.16     89.53
05:48:00 AM     all      2.35      0.00      3.53      2.35      0.00     91.76
05:48:01 AM     all     21.35      3.37      6.74      6.74      0.00     61.80
05:48:02 AM     all      8.24      8.24      3.53      7.06      1.18     71.76
05:48:03 AM     all      0.00      6.02      3.61      3.61      0.00     86.75
05:48:04 AM     all      6.90      5.75      3.45      3.45      0.00     80.46
05:48:05 AM     all      4.65      2.33      6.98      2.33      1.16     82.56
05:48:06 AM     all      2.38      5.95      3.57      2.38      0.00     85.71
05:48:07 AM     all      4.76      3.57      3.57      2.38      1.19     84.52
05:48:08 AM     all      2.35      4.71      5.88      4.71      0.00     82.35
05:48:09 AM     all      9.52      1.19      4.76      4.76      0.00     79.76
05:48:10 AM     all      4.49      0.00      2.25      2.25      1.12     89.89
05:48:11 AM     all      0.00      0.00      2.38      0.00      0.00     97.62
05:48:12 AM     all      4.65      0.00      1.16      0.00      1.16     93.02
05:48:13 AM     all      3.49      0.00      2.33      1.16      0.00     93.02
05:48:14 AM     all      2.38      0.00      1.19      0.00      0.00     96.43
05:48:15 AM     all     12.50      0.00      6.82      3.41      1.14     76.14
05:48:16 AM     all      2.38      0.00      2.38      0.00      0.00     95.24
05:48:17 AM     all      3.45      0.00      2.30      0.00      1.15     93.10
05:48:18 AM     all      3.49      0.00      2.33      0.00      0.00     94.19
05:48:19 AM     all      1.19      0.00      3.57      3.57      0.00     91.67
05:48:20 AM     all      1.22      0.00      0.00      0.00      0.00     98.78
05:48:21 AM     all      5.81      0.00      1.16      0.00      1.16     91.86
05:48:22 AM     all      3.61      0.00      0.00      0.00      0.00     96.39
05:48:23 AM     all      1.14      0.00      3.41      1.14      1.14     93.18
05:48:24 AM     all      2.33      0.00      3.49      1.16      0.00     93.02
05:48:25 AM     all      2.35      0.00      1.18      0.00      0.00     96.47
05:48:26 AM     all      4.60      0.00      1.15      0.00      1.15     93.10
05:48:27 AM     all      1.19      0.00      1.19      0.00      0.00     97.62
