Linux 3.13.0-105-generic (ip-172-31-1-195) 	01/06/2017 	_x86_64_	(2 CPU)

02:20:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:20:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:16 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:20:17 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
02:20:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:20 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:20:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:22 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:20:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:24 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
02:20:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:27 PM     all      0.50      0.00      0.00      0.50      0.00     99.00
02:20:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:30 PM     all      2.14      0.00      0.00      0.00      0.00     97.86
02:20:31 PM     all      4.68      0.00      1.75      1.75      1.17     90.64
02:20:32 PM     all     13.10      0.00      1.19      0.00      0.60     85.12
02:20:33 PM     all      3.03      0.00      0.00      0.00      1.21     95.76
02:20:34 PM     all      6.63      0.00      1.81      0.00      0.60     90.96
02:20:35 PM     all      8.38      0.00      4.79     13.17      1.20     72.46
02:20:36 PM     all      4.22      0.00      1.81      6.63      0.60     86.75
02:20:37 PM     all      2.44      0.00      0.61      0.00      1.22     95.73
02:20:38 PM     all      0.61      0.00      1.22      0.00      1.22     96.95
02:20:39 PM     all     12.12      0.00      1.21      4.24      1.21     81.21
02:20:40 PM     all      1.22      0.00      1.83      0.00      0.61     96.34
02:20:41 PM     all      3.70      0.00      0.00      0.00      1.23     95.06
02:20:42 PM     all      0.54      0.00      0.54      0.00      0.54     98.37
02:20:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:49 PM     all      0.50      0.00      0.50      3.50      0.00     95.50
02:20:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:53 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
02:20:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:59 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
02:21:00 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:21:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:02 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
02:21:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:04 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:21:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:06 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
02:21:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:17 PM     all      0.00      0.00      0.00      0.50      0.00     99.50
02:21:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:27 PM     all     21.13      0.00      0.00      0.00      0.52     78.35
02:21:28 PM     all     55.31      0.00      3.91      0.00      0.00     40.78
02:21:29 PM     all     67.42      0.00      7.30      0.00      0.00     25.28
02:21:30 PM     all     41.82      0.00     12.12      7.27      1.21     37.58
02:21:31 PM     all     32.28      0.00      7.59      0.63      1.27     58.23
02:21:32 PM     all     26.45      0.00      7.10      0.00      1.29     65.16
02:21:33 PM     all     33.54      0.00      8.86      0.00      0.63     56.96
02:21:34 PM     all     24.34      0.00      7.89      0.00      1.32     66.45
02:21:35 PM     all     24.03      0.00      9.09      0.00      0.65     66.23
02:21:36 PM     all     34.55      0.00      9.70      1.21      1.21     53.33
02:21:37 PM     all     20.53      0.00      8.61      0.00      1.32     69.54
02:21:38 PM     all     12.95      0.00      8.63      0.00      1.44     76.98
02:21:39 PM     all     16.55      0.00      9.66      0.00      1.38     72.41
02:21:40 PM     all     56.04      8.24     12.64      2.75      0.00     20.33
02:21:41 PM     all     44.91      5.39     13.77      1.80      1.20     32.93
02:21:42 PM     all     26.58      5.06     10.13      0.00      0.63     57.59
02:21:43 PM     all     28.66      5.73      7.01      0.00      0.64     57.96
02:21:44 PM     all     36.94      2.55     12.10      0.00      1.27     47.13
02:21:45 PM     all     18.83      4.55      9.74      0.00      1.30     65.58
02:21:46 PM     all     38.75      0.62     11.88     10.62      1.25     36.88
02:21:47 PM     all     25.64      0.00     13.46      0.00      1.28     59.62
02:21:48 PM     all     29.61      0.00     10.53      0.00      0.66     59.21
02:21:49 PM     all     30.87      0.00      8.72      0.00      1.34     59.06
