Linux 3.13.0-105-generic (ip-172-31-1-195) 	01/06/2017 	_x86_64_	(2 CPU)

02:26:38 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:26:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:41 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
02:26:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:51 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
02:26:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:56 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:26:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:58 PM     all      1.02      0.00      0.00      0.00      0.00     98.98
02:26:59 PM     all      0.57      0.00      1.15      0.57      0.57     97.13
02:27:00 PM     all      1.19      0.00      0.60      1.19      1.19     95.83
02:27:01 PM     all      1.19      0.00      1.19      0.00      1.19     96.43
02:27:02 PM     all      2.38      0.00      0.60      0.00      0.60     96.43
02:27:03 PM     all      7.69      0.00      4.14      0.59      1.18     86.39
02:27:04 PM     all      2.45      0.00      3.07     15.34      0.61     78.53
