Linux 3.13.0-105-generic (ip-172-31-1-195) 	01/06/2017 	_x86_64_	(2 CPU)

02:34:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:34:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:51 PM     all      0.00      0.00      0.00      0.50      0.00     99.50
02:34:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:01 PM     all      0.57      0.00      0.57      0.57      0.57     97.71
02:35:02 PM     all      1.18      0.00      0.59      0.00      1.18     97.06
02:35:03 PM     all      2.37      0.00      1.18      0.00      0.59     95.86
02:35:04 PM     all      1.20      0.00      0.60      0.00      1.20     97.01
02:35:05 PM     all      1.18      0.00      0.59      0.00      1.18     97.06
02:35:06 PM     all      1.18      0.00      2.35      4.71      0.59     91.18
02:35:07 PM     all      7.19      0.00      4.79      5.99      1.20     80.84
02:35:08 PM     all      8.28      3.55      2.37      6.51      0.59     78.70
02:35:09 PM     all      1.22      0.61      0.61      0.00      1.22     96.34
02:35:10 PM     all      1.20      1.20      1.81      5.42      1.20     89.16
02:35:11 PM     all      3.05      1.83      0.61      0.00      1.22     93.29
02:35:12 PM     all      1.23      1.23      0.61      0.00      1.23     95.71
02:35:13 PM     all      1.12      1.12      0.56      0.00      0.56     96.63
02:35:14 PM     all      0.51      0.51      0.00      0.00      0.00     98.98
02:35:15 PM     all      1.02      0.51      0.00      0.00      0.00     98.47
02:35:16 PM     all      0.00      0.50      1.01      0.00      0.00     98.49
02:35:17 PM     all      0.00      0.51      0.51      0.00      0.00     98.98
02:35:18 PM     all      0.51      1.01      0.51      0.00      0.00     97.98
02:35:19 PM     all      0.00      0.51      0.00      0.00      0.00     99.49
02:35:20 PM     all      0.00      1.51      1.01      4.02      0.00     93.47
02:35:21 PM     all      0.00      0.51      1.01      0.00      0.00     98.48
02:35:22 PM     all      1.53      0.51      0.00      0.00      0.00     97.96
02:35:23 PM     all      0.00      0.51      0.51      0.00      0.00     98.99
02:35:24 PM     all      0.00      1.02      0.00      0.00      0.00     98.98
02:35:25 PM     all      0.00      0.51      0.51      0.00      0.51     98.48
02:35:26 PM     all      0.00      1.01      0.00      1.51      0.00     97.49
02:35:27 PM     all      0.00      0.51      0.51      0.00      0.00     98.98
02:35:28 PM     all      0.00      1.02      0.00      0.00      0.00     98.98
02:35:29 PM     all      0.00      0.51      0.51     20.81      0.00     78.17
02:35:30 PM     all      3.03      0.00      3.54      9.09      0.00     84.34
02:35:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:35 PM     all      1.51      0.00      0.00      0.00      0.00     98.49
02:35:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:44 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
02:35:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:48 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
02:35:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:59 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:36:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:02 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:36:03 PM     all      3.87      0.00      0.55      0.00      0.55     95.03
02:36:04 PM     all      7.83      0.00      1.81      0.00      1.20     89.16
02:36:05 PM     all     10.12      0.00      4.17      0.00      0.60     85.12
02:36:06 PM     all      6.88      0.00      3.12      0.00      1.25     88.75
02:36:07 PM     all     10.71      0.00      3.57      0.00      1.19     84.52
02:36:08 PM     all      8.02      0.00      3.09      0.00      0.62     88.27
02:36:09 PM     all      4.58      0.00      3.92      0.00      1.31     90.20
02:36:10 PM     all      8.75      0.00      5.62      0.00      1.25     84.38
02:36:11 PM     all      9.40      0.00      4.03      0.00      1.34     85.23
02:36:12 PM     all      8.97      0.00      5.77      0.00      1.28     83.97
02:36:13 PM     all      9.52      0.00      4.76      0.00      1.36     84.35
02:36:14 PM     all      7.24      0.00      6.58      0.00      1.32     84.87
02:36:15 PM     all      9.74      0.00      5.84      0.00      1.30     83.12
02:36:16 PM     all      8.44      0.00      5.84      0.00      1.30     84.42
02:36:17 PM     all      9.21      0.00      4.61      0.66      1.32     84.21
02:36:18 PM     all      4.17      0.00      4.17      0.00      1.39     90.28
02:36:19 PM     all      9.09      0.00      5.19      0.00      1.30     84.42
02:36:20 PM     all      9.80      0.00      4.58      0.00      1.31     84.31
02:36:21 PM     all      7.38      0.00      4.03      0.67      1.34     86.58
02:36:22 PM     all      4.83      0.00      5.52      0.00      1.38     88.28
02:36:23 PM     all      8.16      0.00      5.44      0.00      1.36     85.03
02:36:24 PM     all      6.85      0.00      3.42      0.00      2.05     87.67
02:36:25 PM     all      9.62      0.00      5.77      0.00      0.64     83.97
02:36:26 PM     all      7.59      0.00      5.70      0.00      1.27     85.44
02:36:27 PM     all      0.00      0.00      0.00      0.00      0.51     99.49
02:36:28 PM     all      1.50      0.00      0.00      0.00      0.00     98.50
02:36:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:37 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:36:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:39 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
02:36:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
