Linux 3.13.0-105-generic (ip-172-31-1-195) 	01/07/2017 	_x86_64_	(2 CPU)

07:07:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:07:17 PM     all      8.08      0.00      0.00      0.00      0.00     91.92
07:07:18 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:19 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:20 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
07:07:21 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:22 PM     all      1.51      0.00      0.00      0.00      0.00     98.49
07:07:23 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:24 PM     all      0.00      0.00      0.00      0.50      0.00     99.50
07:07:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:07:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:07:27 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
07:07:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:07:29 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:07:31 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:07:33 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:34 PM     all      7.11      0.00      0.00      0.00      0.51     92.39
07:07:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:07:36 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:07:37 PM     all      3.06      0.00      0.00      0.00      0.00     96.94
07:07:38 PM     all      7.78      0.00      1.11      0.00      0.56     90.56
07:07:39 PM     all     31.32      3.85      3.85      4.95      0.55     55.49
07:07:40 PM     all     29.61      2.23      2.23      0.00      0.56     65.36
07:07:41 PM     all      5.75      1.15      1.72      0.00      0.57     90.80
07:07:42 PM     all      9.20      1.15      1.15      0.00      0.57     87.93
07:07:43 PM     all      5.14      1.14      3.43      4.00      0.57     85.71
07:07:44 PM     all     12.99      2.26      2.26      0.00      0.56     81.92
07:07:45 PM     all      7.34      1.13      2.82      0.00      0.56     88.14
07:07:46 PM     all      4.00      1.71      1.71      0.00      1.14     91.43
07:07:47 PM     all      2.86      2.86      0.57      0.00      0.57     93.14
07:07:48 PM     all      4.52      2.26      2.26      0.56      0.56     89.83
07:07:49 PM     all      4.60      1.15      2.30      0.00      0.57     91.38
