Linux 3.13.0-105-generic (ip-172-31-1-195) 	01/07/2017 	_x86_64_	(2 CPU)

07:09:17 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:09:18 PM     all      3.02      0.00      0.00      0.00      0.00     96.98
07:09:19 PM     all      0.50      0.00      0.50      0.00      0.00     99.00
07:09:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:21 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
07:09:22 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:24 PM     all      0.00      0.00      0.50      0.50      0.00     99.00
07:09:25 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:26 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
07:09:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:28 PM     all      0.50      0.00      0.50      0.00      0.00     99.00
07:09:29 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:34 PM     all      0.50      0.00      0.00      0.50      0.00     99.00
07:09:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:37 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:39 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:41 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:42 PM     all      5.10      0.00      0.00      0.00      0.51     94.39
07:09:43 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:09:45 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:09:46 PM     all      0.00      0.00      0.00      0.00      0.56     99.44
07:09:47 PM     all      4.52      0.00      2.26      1.13      0.56     91.53
07:09:48 PM     all      7.43      4.57      2.86      3.43      0.57     81.14
07:09:49 PM     all      3.98      2.27      1.14      0.57      0.57     91.48
07:09:50 PM     all      1.14      2.27      1.70      0.00      0.57     94.32
07:09:51 PM     all      4.68      1.75      0.58      0.00      0.58     92.40
07:09:52 PM     all      1.16      2.91      0.58      0.00      1.16     94.19
07:09:53 PM     all      2.25      1.69      2.25      0.00      0.56     93.26
07:09:54 PM     all      2.33      2.33      1.16      8.14      0.58     85.47
07:09:55 PM     all      3.39      0.56      2.26      5.65      0.56     87.57
07:09:56 PM     all      4.00      0.00      1.14      0.00      0.57     94.29
07:09:57 PM     all      1.74      0.00      0.00      4.65      1.16     92.44
07:09:58 PM     all      1.71      0.00      1.14      0.00      0.57     96.57
07:09:59 PM     all      0.57      0.00      1.14      0.00      0.57     97.71
07:10:00 PM     all      0.54      0.00      2.17      0.00      0.54     96.74
07:10:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:02 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
07:10:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:04 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:10:05 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
07:10:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:07 PM     all      0.50      0.00      0.50      2.49      0.00     96.52
07:10:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:10 PM     all      0.50      0.00      0.00      0.00      0.50     99.00
07:10:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:18 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:10:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:10:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
