Linux 3.13.0-105-generic (ip-172-31-1-195) 	01/07/2017 	_x86_64_	(2 CPU)

07:14:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:14:48 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
07:14:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:50 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:14:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:52 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:14:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:14:58 PM     all      0.50      0.00      0.00      0.50      0.00     99.00
07:14:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:01 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
07:15:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:04 PM     all      0.50      0.00      0.50      0.00      0.00     99.00
07:15:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:06 PM     all      1.51      0.00      0.50      0.00      0.00     97.99
07:15:07 PM     all      0.51      0.00      0.00      0.00      0.00     99.49
07:15:08 PM     all      0.50      0.00      0.50      0.00      0.00     99.00
07:15:09 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:15:10 PM     all      0.00      0.00      0.54      0.00      0.54     98.92
07:15:11 PM     all      1.14      0.00      0.00      0.00      0.57     98.30
07:15:12 PM     all      2.26      0.00      0.56      0.00      0.56     96.61
07:15:13 PM     all      1.13      0.00      0.56      0.00      1.13     97.18
07:15:14 PM     all      0.57      0.00      0.57      0.00      0.57     98.29
07:15:15 PM     all      0.57      0.00      1.70      0.00      0.57     97.16
07:15:16 PM     all     25.41      0.00      3.87      7.73      0.55     62.43
07:15:17 PM     all     12.85      0.00      1.12      0.00      0.56     85.47
07:15:18 PM     all      0.57      0.00      1.14      3.43      1.14     93.71
07:15:19 PM     all      0.57      0.00      0.00      0.00      0.57     98.85
07:15:20 PM     all      0.57      0.00      0.57      0.00      0.57     98.29
07:15:21 PM     all      3.41      0.00      1.14      0.00      0.57     94.89
07:15:22 PM     all      0.00      0.00      0.00      0.00      0.58     99.42
07:15:23 PM     all      0.57      0.00      1.14      0.00      0.57     97.73
07:15:24 PM     all      0.57      0.00      0.57      0.00      0.57     98.28
07:15:25 PM     all      0.50      0.00      0.00      0.00      0.50     98.99
07:15:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:28 PM     all      0.00      0.00      0.50      3.02      0.00     96.48
07:15:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:30 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:15:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:34 PM     all      0.00      0.00      0.00      0.50      0.00     99.50
07:15:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:38 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:15:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:42 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:15:43 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
07:15:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:45 PM     all      0.50      0.00      0.50      0.00      0.00     99.01
07:15:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:47 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:15:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:49 PM     all      0.00      0.00      0.50      0.00      0.00     99.50
07:15:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:51 PM     all      0.50      0.00      0.00      0.00      0.50     99.00
07:15:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:54 PM     all      0.00      0.00      0.00      0.50      0.00     99.50
07:15:55 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:15:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:15:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:01 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:03 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:07 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:08 PM     all      1.52      0.00      0.00      0.00      0.00     98.48
07:16:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:12 PM     all      3.41      0.00      1.70      0.00      1.14     93.75
07:16:13 PM     all      4.32      0.00      2.47      0.00      1.23     91.98
07:16:14 PM     all      4.35      0.00      3.73      0.00      1.24     90.68
07:16:15 PM     all      3.21      0.00      1.28      0.00      0.64     94.87
07:16:16 PM     all      6.83      0.00      4.35      0.00      1.24     87.58
07:16:17 PM     all      5.10      0.00      2.55      0.00      1.27     91.08
07:16:18 PM     all      6.33      0.00      2.53      0.00      1.27     89.87
07:16:19 PM     all      5.73      0.00      3.18      0.00      1.27     89.81
07:16:20 PM     all      3.97      0.00      3.31      0.00      1.32     91.39
07:16:21 PM     all      4.61      0.00      1.97      0.00      1.32     92.11
07:16:22 PM     all      5.23      0.00      3.92      0.00      1.31     89.54
07:16:23 PM     all      6.62      0.00      3.97      0.00      1.32     88.08
07:16:24 PM     all      6.00      0.00      3.33      0.00      1.33     89.33
07:16:25 PM     all      4.08      0.00      4.08      0.00      1.36     90.48
07:16:26 PM     all      4.05      0.00      5.41      0.00      1.35     89.19
07:16:27 PM     all      4.79      0.00      2.74      0.00      1.37     91.10
07:16:28 PM     all      4.05      0.00      2.70      0.00      2.03     91.22
07:16:29 PM     all      7.19      0.00      5.23      0.00      1.31     86.27
07:16:30 PM     all      3.47      0.00      3.47      0.00      1.39     91.67
07:16:31 PM     all      6.71      0.00      3.36      0.00      1.34     88.59
07:16:32 PM     all      7.28      0.00      3.97      0.00      1.99     86.75
07:16:33 PM     all      0.00      0.00      1.04      0.00      0.00     98.96
07:16:34 PM     all      0.00      0.00      0.00      0.50      0.00     99.50
07:16:35 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:37 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:38 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:40 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
07:16:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
07:16:42 PM     all      0.50      0.00      0.00      0.00      0.00     99.50
07:16:43 PM     all      1.51      0.00      0.00      0.00      0.00     98.49
07:16:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
