Linux 3.13.0-105-generic (ip-172-31-14-123) 	01/07/2017 	_x86_64_	(1 CPU)

04:30:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:30:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:05 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:30:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:07 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:30:08 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:30:09 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:30:10 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:30:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:12 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:30:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:15 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:30:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:18 PM     all      4.00      0.00      0.00      0.00      0.00     96.00
04:30:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:23 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:30:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:30:25 PM     all     12.37      0.00      5.15      2.06      0.00     80.41
04:30:26 PM     all     82.47      0.00      7.22      0.00      0.00     10.31
04:30:27 PM     all      7.06      0.00      3.53      0.00      1.18     88.24
04:30:28 PM     all      4.94      0.00      4.94      0.00      0.00     90.12
04:30:29 PM     all      3.70      0.00      6.17      0.00      1.23     88.89
04:30:30 PM     all      2.53      0.00      2.53      0.00      0.00     94.94
04:30:31 PM     all     19.32      0.00      9.09      4.55      1.14     65.91
04:30:32 PM     all      3.70      0.00      3.70      1.23      1.23     90.12
04:30:33 PM     all      3.75      0.00      2.50      0.00      0.00     93.75
04:30:34 PM     all     24.71      0.00      4.71      0.00      0.00     70.59
04:30:35 PM     all      3.70      0.00      4.94      1.23      1.23     88.89
04:30:36 PM     all     56.38      7.45     11.70      1.06      0.00     23.40
04:30:37 PM     all     34.44      6.67      5.56      3.33      1.11     48.89
04:30:38 PM     all      8.64      1.23      8.64      3.70      0.00     77.78
04:30:39 PM     all      8.64      6.17      4.94      2.47      1.23     76.54
04:30:40 PM     all      2.13      2.13      2.13      6.38      0.00     87.23
04:30:41 PM     all      1.01      4.04      1.01      2.02      1.01     90.91
04:30:42 PM     all      3.03      4.04      2.02      3.03      0.00     87.88
04:30:43 PM     all      0.00      2.11      1.05      3.16      0.00     93.68
04:30:44 PM     all      6.19      3.09      2.06      6.19      0.00     82.47
04:30:45 PM     all      1.98      2.97      1.98      0.99      0.99     91.09
04:30:46 PM     all      0.00      2.08      0.00      1.04      0.00     96.88
04:30:47 PM     all      2.00      2.00      2.00      1.00      0.00     93.00
04:30:48 PM     all      1.03      2.06      1.03      1.03      0.00     94.85
04:30:49 PM     all      1.01      0.00      2.02      1.01      1.01     94.95
04:30:50 PM     all      2.08      1.04      1.04      0.00      0.00     95.83
04:30:51 PM     all      0.00      1.01      2.02      5.05      0.00     91.92
04:30:52 PM     all      0.00      2.06      2.06      2.06      0.00     93.81
04:30:53 PM     all      2.06      2.06      0.00      1.03      0.00     94.85
04:30:54 PM     all      0.00      2.00      2.00      2.00      1.00     93.00
04:30:55 PM     all      1.02      2.04      1.02      2.04      0.00     93.88
04:30:56 PM     all      0.00      3.12      1.04      1.04      0.00     94.79
04:30:57 PM     all      1.04      0.00      0.00      1.04      1.04     96.88
04:30:58 PM     all      0.00      3.03      2.02      1.01      0.00     93.94
04:30:59 PM     all      1.03      1.03      1.03      2.06      0.00     94.85
04:31:00 PM     all      0.00      2.06      0.00      1.03      1.03     95.88
04:31:01 PM     all      2.02      1.01      3.03      1.01      0.00     92.93
04:31:02 PM     all      0.00      1.05      0.00      2.11      0.00     96.84
04:31:03 PM     all      0.00      1.01      2.02      1.01      1.01     94.95
04:31:04 PM     all      0.00      3.03      1.01      5.05      0.00     90.91
04:31:05 PM     all      0.00      1.03      2.06      2.06      0.00     94.85
04:31:06 PM     all      0.00      2.02      3.03      4.04      0.00     90.91
04:31:07 PM     all      0.00      0.00      0.00      2.11      0.00     97.89
04:31:08 PM     all     11.11      1.01      1.01      4.04      0.00     82.83
04:31:09 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
04:31:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:11 PM     all      0.99      0.00      0.00      0.00      0.99     98.02
04:31:12 PM     all      8.99      0.00      3.37      2.25      0.00     85.39
04:31:13 PM     all     22.22      0.00     17.28      7.41      0.00     53.09
04:31:14 PM     all     28.05      0.00     13.41      1.22      1.22     56.10
04:31:15 PM     all     27.38      0.00     17.86      0.00      0.00     54.76
04:31:16 PM     all     32.53      0.00     24.10      4.82      0.00     38.55
04:31:17 PM     all     25.33      0.00     17.33      0.00      1.33     56.00
04:31:18 PM     all     28.92      0.00     16.87      1.20      1.20     51.81
04:31:19 PM     all     19.48      0.00     19.48      0.00      0.00     61.04
04:31:20 PM     all     25.30      0.00     12.05      0.00      0.00     62.65
04:31:21 PM     all     23.86      0.00     14.77      0.00      1.14     60.23
04:31:22 PM     all     25.32      0.00     13.92      0.00      0.00     60.76
04:31:23 PM     all     28.40      0.00     11.11      0.00      1.23     59.26
04:31:24 PM     all     27.06      0.00     12.94      0.00      0.00     60.00
04:31:25 PM     all     25.88      0.00     16.47      0.00      0.00     57.65
04:31:26 PM     all     21.52      0.00     17.72      0.00      0.00     60.76
04:31:27 PM     all     29.76      0.00     14.29      3.57      1.19     51.19
04:31:28 PM     all     29.89      0.00     18.39      5.75      0.00     45.98
04:31:29 PM     all     21.92      0.00     13.70      0.00      1.37     63.01
04:31:30 PM     all     30.49      0.00      9.76      1.22      0.00     58.54
04:31:31 PM     all     20.27      0.00     14.86      0.00      1.35     63.51
04:31:32 PM     all     33.73      0.00     10.84      0.00      0.00     55.42
04:31:33 PM     all     26.58      0.00     11.39      0.00      1.27     60.76
04:31:34 PM     all     22.22      0.00     16.05      1.23      0.00     60.49
04:31:35 PM     all     18.42      0.00     14.47      0.00      0.00     67.11
04:31:36 PM     all     10.64      0.00      4.26      0.00      0.00     85.11
04:31:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:31:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:41 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:31:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:44 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:31:45 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
04:31:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:49 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:31:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:51 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:31:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:55 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:31:56 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:31:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:31:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
