Linux 3.13.0-105-generic (ip-172-31-14-123) 	01/07/2017 	_x86_64_	(1 CPU)

04:57:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:57:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:57:55 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
04:57:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:57:57 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:57:58 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
04:57:59 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:58:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:01 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:58:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:06 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:58:07 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:58:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:12 PM     all     60.20      0.00      1.02      0.00      0.00     38.78
04:58:13 PM     all     61.86      0.00      4.12      0.00      0.00     34.02
04:58:14 PM     all     35.48      0.00      2.15      0.00      1.08     61.29
04:58:15 PM     all     32.22      0.00      2.22      0.00      0.00     65.56
04:58:16 PM     all     13.79      0.00      1.15      0.00      0.00     85.06
04:58:17 PM     all     23.08      0.00      2.20      0.00      1.10     73.63
04:58:18 PM     all     20.93      0.00      1.16      0.00      0.00     77.91
04:58:19 PM     all     61.86      0.00      3.09      0.00      0.00     35.05
04:58:20 PM     all     28.57      0.00      1.10      2.20      0.00     68.13
04:58:21 PM     all     35.16      0.00      2.20      0.00      0.00     62.64
04:58:22 PM     all     15.91      0.00      1.14      0.00      1.14     81.82
04:58:23 PM     all     13.48      0.00      3.37      0.00      0.00     83.15
04:58:24 PM     all     20.00      0.00      1.11      0.00      1.11     77.78
04:58:25 PM     all     45.74      0.00      2.13      0.00      0.00     52.13
04:58:26 PM     all     23.86      0.00      1.14      1.14      0.00     73.86
04:58:27 PM     all     39.78      0.00      4.30      0.00      0.00     55.91
04:58:28 PM     all     38.46      0.00      3.30      0.00      0.00     58.24
04:58:29 PM     all     24.72      0.00      4.49      2.25      1.12     67.42
04:58:30 PM     all     77.55      0.00      8.16      0.00      0.00     14.29
04:58:31 PM     all     14.61      0.00      1.12      0.00      0.00     84.27
04:58:32 PM     all     20.45      0.00      1.14      0.00      1.14     77.27
04:58:33 PM     all     34.78      0.00      4.35      0.00      0.00     60.87
04:58:34 PM     all     12.36      0.00      2.25      0.00      0.00     85.39
04:58:35 PM     all      4.17      0.00      0.00      0.00      0.00     95.83
04:58:36 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:58:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:38 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
04:58:39 PM     all      5.94      0.00      0.99      3.96      0.00     89.11
04:58:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:41 PM     all     10.89      0.00      0.00      0.00      0.00     89.11
04:58:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:45 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
04:58:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:48 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
04:58:49 PM     all      4.04      0.00      0.00      0.00      0.00     95.96
04:58:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:52 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:58:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:56 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:58:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:58:58 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
04:58:59 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:59:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:04 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:59:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:09 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:59:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:13 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
04:59:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:59:15 PM     all      5.05      0.00      1.01      0.00      0.00     93.94
04:59:16 PM     all     68.37      0.00      9.18      0.00      0.00     22.45
04:59:17 PM     all     63.54      0.00     10.42      0.00      0.00     26.04
