Linux 3.13.0-105-generic (ip-172-31-14-123) 	01/07/2017 	_x86_64_	(1 CPU)

05:05:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:05:57 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:05:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:05:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:00 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:06:01 PM     all      0.00      0.00      0.00      0.00      1.00     99.00
05:06:02 PM     all      0.99      0.00      0.00      0.00      0.99     98.02
05:06:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:05 PM     all      0.98      0.00      0.00      0.98      0.00     98.04
05:06:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:10 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:06:11 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:06:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:14 PM     all      1.03      0.00      0.00      0.00      0.00     98.97
05:06:15 PM     all      3.41      0.00      1.14      0.00      0.00     95.45
05:06:16 PM     all      9.09      0.00      2.27      0.00      1.14     87.50
05:06:17 PM     all      2.33      0.00      1.16      0.00      0.00     96.51
05:06:18 PM     all      4.55      0.00      1.14      0.00      1.14     93.18
05:06:19 PM     all      2.33      0.00      2.33      0.00      0.00     95.35
05:06:20 PM     all      4.49      0.00      4.49      0.00      0.00     91.01
05:06:21 PM     all      1.16      0.00      1.16      0.00      1.16     96.51
05:06:22 PM     all      3.53      0.00      0.00      1.18      0.00     95.29
05:06:23 PM     all      8.14      0.00      1.16      0.00      1.16     89.53
05:06:24 PM     all      6.90      0.00      8.05      4.60      0.00     80.46
05:06:25 PM     all      5.68      0.00      2.27      0.00      1.14     90.91
05:06:26 PM     all      2.33      0.00      1.16      0.00      0.00     96.51
05:06:27 PM     all      0.00      0.00      2.35      0.00      1.18     96.47
05:06:28 PM     all      2.30      0.00      3.45      1.15      0.00     93.10
05:06:29 PM     all      4.49      0.00      3.37      0.00      0.00     92.13
05:06:30 PM     all      2.30      0.00      2.30      0.00      1.15     94.25
05:06:31 PM     all      1.10      0.00      3.30      0.00      0.00     95.60
05:06:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:33 PM     all      3.00      0.00      0.00      0.00      0.00     97.00
05:06:34 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
05:06:35 PM     all      0.00      0.00      1.01      0.00      0.00     98.99
05:06:36 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
05:06:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:06:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:42 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:06:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:44 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
05:06:45 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:06:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:47 PM     all     13.00      0.00      0.00      0.00      0.00     87.00
05:06:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:49 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:06:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:52 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:06:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:56 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
05:06:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:06:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:03 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
05:07:04 PM     all      4.21      0.00      0.00      0.00      0.00     95.79
05:07:05 PM     all     69.15      0.00      3.19      0.00      0.00     27.66
05:07:06 PM     all     26.92      0.00      3.85      0.00      0.00     69.23
05:07:07 PM     all     16.46      0.00     10.13      0.00      1.27     72.15
05:07:08 PM     all     12.00      0.00      4.00      0.00      1.33     82.67
05:07:09 PM     all     12.00      0.00      8.00      0.00      0.00     80.00
05:07:10 PM     all     13.75      0.00      8.75      0.00      1.25     76.25
05:07:11 PM     all     10.39      0.00      7.79      0.00      1.30     80.52
05:07:12 PM     all     12.66      0.00     10.13      0.00      0.00     77.22
05:07:13 PM     all     16.25      0.00      8.75      0.00      1.25     73.75
05:07:14 PM     all     11.25      0.00     12.50      0.00      0.00     76.25
05:07:15 PM     all     12.66      0.00     10.13      0.00      1.27     75.95
05:07:16 PM     all     12.16      0.00      9.46      0.00      0.00     78.38
05:07:17 PM     all     14.47      0.00      9.21      0.00      1.32     75.00
05:07:18 PM     all     10.53      0.00      6.58      0.00      1.32     81.58
05:07:19 PM     all     10.53      0.00      9.21      1.32      0.00     78.95
05:07:20 PM     all      7.50      0.00     13.75      0.00      1.25     77.50
05:07:21 PM     all     10.13      0.00      6.33      0.00      1.27     82.28
05:07:22 PM     all     10.67      0.00      8.00      0.00      0.00     81.33
05:07:23 PM     all      9.33      0.00      5.33      0.00      1.33     84.00
05:07:24 PM     all     14.81      0.00      7.41      0.00      0.00     77.78
05:07:25 PM     all     10.96      0.00      8.22      0.00      1.37     79.45
05:07:26 PM     all      9.21      0.00      9.21      0.00      1.32     80.26
05:07:27 PM     all      9.09      0.00      9.09      0.00      0.00     81.82
05:07:28 PM     all     13.92      0.00      7.59      0.00      1.27     77.22
05:07:29 PM     all      9.09      0.00     11.69      0.00      0.00     79.22
05:07:30 PM     all     10.13      0.00     12.66      0.00      1.27     75.95
05:07:31 PM     all     18.75      0.00     15.00      6.25      1.25     58.75
05:07:32 PM     all      3.09      0.00      2.06      1.03      0.00     93.81
05:07:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:34 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:07:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:38 PM     all      8.08      0.00      0.00      0.00      0.00     91.92
05:07:39 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
05:07:40 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
05:07:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:07:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
