Linux 3.13.0-105-generic (ip-172-31-5-66) 	01/06/2017 	_x86_64_	(1 CPU)

08:29:43 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:29:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:53 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:29:54 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
08:29:55 PM     all      2.00      0.00      0.00      0.00      0.00     98.00
08:29:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:29:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:00 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:30:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:04 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:30:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:07 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:30:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:09 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:30:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:12 PM     all      8.25      0.00      1.03      0.00      0.00     90.72
08:30:13 PM     all     12.50      0.00      2.50      0.00      1.25     83.75
08:30:14 PM     all      7.41      0.00      3.70      2.47      0.00     86.42
08:30:15 PM     all     30.23      0.00      5.81      6.98      1.16     55.81
08:30:16 PM     all      3.80      0.00      2.53      0.00      1.27     92.41
08:30:17 PM     all      2.56      0.00      5.13      0.00      0.00     92.31
08:30:18 PM     all     12.20      0.00      4.88      0.00      0.00     82.93
08:30:19 PM     all      8.54      0.00      4.88      6.10      1.22     79.27
08:30:20 PM     all      7.14      0.00      4.76      0.00      1.19     86.90
08:30:21 PM     all      6.41      0.00      2.56      0.00      0.00     91.03
08:30:22 PM     all      3.66      0.00      6.10      0.00      1.22     89.02
08:30:23 PM     all      4.94      0.00      6.17      0.00      1.23     87.65
08:30:24 PM     all     22.62      0.00      7.14      3.57      0.00     66.67
08:30:25 PM     all     41.86      0.00      5.81      0.00      0.00     52.33
08:30:26 PM     all     17.86      0.00     15.48     15.48      1.19     50.00
08:30:27 PM     all      9.64      0.00      6.02     14.46      1.20     68.67
08:30:28 PM     all      0.00      0.00      1.09      0.00      0.00     98.91
08:30:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:34 PM     all      0.00      0.00      1.00      3.00      0.00     96.00
08:30:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:39 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:30:40 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
08:30:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:44 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:30:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:46 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:30:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:49 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:30:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:51 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:30:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:30:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:31:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:31:01 PM     all      5.10      0.00      2.04      1.02      0.00     91.84
08:31:02 PM     all     61.29      0.00      6.45      0.00      1.08     31.18
08:31:03 PM     all     35.63      0.00     11.49      0.00      0.00     52.87
08:31:04 PM     all     42.53      0.00     16.09      0.00      0.00     41.38
08:31:05 PM     all     45.35      0.00     15.12      0.00      1.16     38.37
08:31:06 PM     all     36.59      0.00     18.29      0.00      0.00     45.12
08:31:07 PM     all     57.89      0.00     22.11      0.00      0.00     20.00
08:31:08 PM     all     47.06      0.00     11.76      0.00      1.18     40.00
08:31:09 PM     all     40.96      0.00     14.46      0.00      0.00     44.58
08:31:10 PM     all     42.86      0.00     10.71      0.00      0.00     46.43
08:31:11 PM     all     69.79      0.00     15.62      0.00      1.04     13.54
08:31:12 PM     all     69.79      3.12     18.75      0.00      0.00      8.33
08:31:13 PM     all     69.31     12.87     17.82      0.00      0.00      0.00
08:31:14 PM     all     72.00     12.00     16.00      0.00      0.00      0.00
08:31:15 PM     all     70.00     12.00     18.00      0.00      0.00      0.00
08:31:16 PM     all     78.79      6.06     15.15      0.00      0.00      0.00
08:31:17 PM     all     74.00     10.00     16.00      0.00      0.00      0.00
08:31:18 PM     all     70.00     15.00     15.00      0.00      0.00      0.00
08:31:19 PM     all     71.29      6.93     21.78      0.00      0.00      0.00
08:31:20 PM     all     75.00      4.00     20.00      0.00      0.00      1.00
08:31:21 PM     all     75.51      2.04     18.37      0.00      0.00      4.08
08:31:22 PM     all     74.49      4.08     17.35      0.00      0.00      4.08
08:31:23 PM     all     79.80      3.03     16.16      0.00      0.00      1.01
08:31:24 PM     all     74.75      3.03     19.19      0.00      0.00      3.03
08:31:25 PM     all     72.45      2.04     20.41      0.00      0.00      5.10
08:31:26 PM     all     69.39      4.08     20.41      0.00      0.00      6.12
08:31:27 PM     all     52.17      6.52     20.65      0.00      0.00     20.65
08:31:28 PM     all     39.08      6.90     19.54      1.15      0.00     33.33
08:31:29 PM     all     18.68      2.20     12.09      0.00      0.00     67.03
