Linux 3.13.0-105-generic (ip-172-31-5-66) 	01/06/2017 	_x86_64_	(1 CPU)

08:37:16 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:37:17 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:37:18 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:37:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:20 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
08:37:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:27 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:37:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:29 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
08:37:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:34 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:37:35 PM     all      7.00      0.00      0.00      0.00      0.00     93.00
08:37:36 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
08:37:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:37:40 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
08:37:41 PM     all     17.98      0.00      3.37      0.00      0.00     78.65
08:37:42 PM     all      7.06      0.00      2.35      0.00      1.18     89.41
08:37:43 PM     all     24.42     10.47      6.98      8.14      0.00     50.00
08:37:44 PM     all      7.14      4.76      7.14      0.00      1.19     79.76
08:37:45 PM     all      3.80      7.59      3.80      8.86      0.00     75.95
08:37:46 PM     all     16.09      6.90      5.75      0.00      0.00     71.26
08:37:47 PM     all      8.24      5.88      7.06      0.00      1.18     77.65
08:37:48 PM     all      5.88      5.88      7.06     12.94      1.18     67.06
08:37:49 PM     all     12.05      0.00      6.02      1.20      0.00     80.72
08:37:50 PM     all      6.02      0.00      3.61      0.00      1.20     89.16
08:37:51 PM     all      3.80      0.00      1.27      2.53      0.00     92.41
08:37:52 PM     all      2.41      0.00      4.82      0.00      1.20     91.57
08:37:53 PM     all      7.50      0.00      3.75      0.00      0.00     88.75
08:37:54 PM     all      4.88      0.00      2.44      0.00      1.22     91.46
08:37:55 PM     all     27.27      0.00     11.36     26.14      0.00     35.23
08:37:56 PM     all      4.88      7.32      7.32     24.39      1.22     54.88
08:37:57 PM     all      4.26      3.19      4.26      1.06      0.00     87.23
08:37:58 PM     all      0.00      1.02      2.04      2.04      0.00     94.90
08:37:59 PM     all      0.00      2.02      2.02      2.02      0.00     93.94
08:38:00 PM     all      4.08      2.04      0.00      1.02      0.00     92.86
08:38:01 PM     all      0.00      3.06      1.02      1.02      0.00     94.90
08:38:02 PM     all      1.02      2.04      1.02      4.08      0.00     91.84
08:38:03 PM     all      1.03      1.03      0.00      1.03      1.03     95.88
08:38:04 PM     all      3.16      2.11      0.00      9.47      0.00     85.26
08:38:05 PM     all      0.00      2.00      2.00      1.00      0.00     95.00
08:38:06 PM     all      0.00      4.12      0.00      0.00      0.00     95.88
08:38:07 PM     all      0.00      1.03      0.00      1.03      0.00     97.94
08:38:08 PM     all      2.02      1.01      3.03      1.01      0.00     92.93
08:38:09 PM     all      0.00      0.00      0.00      4.26      1.06     94.68
08:38:10 PM     all      0.00      2.04      1.02      1.02      0.00     95.92
08:38:11 PM     all      0.00      2.02      2.02      1.01      0.00     94.95
08:38:12 PM     all      2.02      2.02      2.02      0.00      0.00     93.94
08:38:13 PM     all      5.21      2.08      2.08      8.33      0.00     82.29
08:38:14 PM     all      1.00      0.00      2.00      1.00      0.00     96.00
08:38:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:38:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:38:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:38:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:38:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:38:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
