Linux 3.13.0-105-generic (ip-172-31-5-66) 	01/06/2017 	_x86_64_	(1 CPU)

08:45:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:45:43 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
08:45:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:45 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:45:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:48 PM     all      1.01      0.00      0.00      0.00      0.00     98.99
08:45:49 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
08:45:50 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
08:45:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:57 PM     all      0.99      0.00      0.00      0.00      0.00     99.01
08:45:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:45:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:06 PM     all      2.11      0.00      2.11      0.00      1.05     94.74
08:46:07 PM     all      3.70      0.00      1.23      1.23      0.00     93.83
08:46:08 PM     all      3.70      0.00      3.70      2.47      0.00     90.12
08:46:09 PM     all      4.76      0.00      3.57      0.00      1.19     90.48
08:46:10 PM     all      3.61      0.00      4.82      0.00      1.20     90.36
08:46:11 PM     all      7.95      0.00      9.09      0.00      0.00     82.95
08:46:12 PM     all      4.65      0.00      5.81      0.00      1.16     88.37
08:46:13 PM     all      3.75      0.00      3.75      8.75      1.25     82.50
08:46:14 PM     all     10.71      0.00      5.95      1.19      0.00     82.14
08:46:15 PM     all     19.77      4.65     12.79     24.42      1.16     37.21
08:46:16 PM     all     13.95      3.49      6.98      1.16      1.16     73.26
08:46:17 PM     all      3.75      3.75      5.00      2.50      0.00     85.00
08:46:18 PM     all      6.33      1.27      6.33      6.33      1.27     78.48
08:46:19 PM     all     13.58      3.70      7.41      0.00      0.00     75.31
08:46:20 PM     all      8.24      3.53      5.88      1.18      1.18     80.00
08:46:21 PM     all      7.06      5.88      5.88      0.00      1.18     80.00
08:46:22 PM     all      1.10      1.10      1.10     10.99      0.00     85.71
08:46:23 PM     all      0.00      0.00      1.03      2.06      0.00     96.91
08:46:24 PM     all      1.05      1.05      0.00      0.00      0.00     97.89
08:46:25 PM     all      1.00      2.00      2.00      1.00      0.00     94.00
08:46:26 PM     all      0.00      0.00      2.08      0.00      0.00     97.92
08:46:27 PM     all      0.00      1.03      0.00      1.03      0.00     97.94
08:46:28 PM     all      2.04      2.04      0.00      1.02      0.00     94.90
08:46:29 PM     all      0.00      2.04      1.02      1.02      0.00     95.92
08:46:30 PM     all      0.00      1.03      0.00      0.00      0.00     98.97
08:46:31 PM     all      2.06      2.06      1.03      2.06      0.00     92.78
08:46:32 PM     all      0.00      2.00      1.00      1.00      1.00     95.00
08:46:33 PM     all      0.00      1.04      0.00      2.08      0.00     96.88
08:46:34 PM     all      0.00      1.03      1.03      0.00      0.00     97.94
08:46:35 PM     all      3.00      2.00      2.00     12.00      0.00     81.00
08:46:36 PM     all      6.19      1.03      4.12      9.28      0.00     79.38
08:46:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:49 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
08:46:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:51 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:46:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:53 PM     all      3.96      0.00      0.00      0.00      0.00     96.04
08:46:54 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
08:46:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:57 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
08:46:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:46:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
08:47:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
