Linux 3.13.0-105-generic (ip-172-31-5-66) 	01/07/2017 	_x86_64_	(1 CPU)

12:34:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:34:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:46 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:34:47 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:54 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:34:55 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:34:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:57 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:34:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:34:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:00 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:02 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:35:03 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
12:35:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:11 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:12 AM     all     21.21      0.00      0.00      0.00      0.00     78.79
12:35:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:35:14 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:35:15 AM     all     28.00      0.00      2.00      0.00      1.00     69.00
12:35:16 AM     all     60.42      0.00      0.00      0.00      0.00     39.58
12:35:17 AM     all     67.68      0.00      3.03      0.00      0.00     29.29
12:35:18 AM     all     27.17      0.00      1.09      0.00      0.00     71.74
12:35:19 AM     all     30.43      0.00      1.09      0.00      0.00     68.48
12:35:20 AM     all     15.56      0.00      1.11      1.11      0.00     82.22
12:35:21 AM     all     25.27      0.00      1.10      0.00      1.10     72.53
12:35:22 AM     all     30.43      0.00      0.00      0.00      0.00     69.57
12:35:23 AM     all     18.48      0.00      3.26      0.00      0.00     78.26
