Linux 3.13.0-105-generic (ip-172-31-5-66) 	01/07/2017 	_x86_64_	(1 CPU)

12:49:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:49:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:10 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:49:11 AM     all      0.00      0.00      1.01      0.00      0.00     98.99
12:49:12 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:49:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:15 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:49:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:18 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:49:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:20 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:49:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:23 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:49:24 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:49:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:27 AM     all      0.00      0.00      0.99      0.00      0.00     99.01
12:49:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:29 AM     all      0.00      0.00      0.98      0.98      0.00     98.04
12:49:30 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:49:31 AM     all      2.02      0.00      0.00      0.00      0.00     97.98
12:49:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:35 AM     all      4.08      0.00      0.00      0.00      0.00     95.92
12:49:36 AM     all      3.30      0.00      0.00      0.00      1.10     95.60
12:49:37 AM     all      8.05      0.00      0.00      0.00      0.00     91.95
12:49:38 AM     all      1.15      0.00      1.15      0.00      0.00     97.70
12:49:39 AM     all      3.37      0.00      0.00      0.00      1.12     95.51
12:49:40 AM     all      1.15      0.00      1.15      0.00      0.00     97.70
12:49:41 AM     all      1.14      1.14      1.14      0.00      1.14     95.45
12:49:42 AM     all     11.63      0.00      1.16      0.00      0.00     87.21
12:49:43 AM     all      1.15      0.00      0.00      0.00      0.00     98.85
12:49:44 AM     all      1.14      0.00      1.14      0.00      1.14     96.59
12:49:45 AM     all      2.25      0.00      2.25      4.49      1.12     89.89
12:49:46 AM     all      1.16      0.00      1.16      0.00      0.00     97.67
12:49:47 AM     all      3.41      0.00      1.14      0.00      1.14     94.32
12:49:48 AM     all      0.00      0.00      0.00      1.18      0.00     98.82
12:49:49 AM     all      3.45      0.00      2.30      0.00      1.15     93.10
12:49:50 AM     all     14.29      0.00      6.59     14.29      0.00     64.84
12:49:51 AM     all      1.15      0.00      2.30      0.00      0.00     96.55
12:49:52 AM     all      1.11      0.00      3.33      0.00      1.11     94.44
12:49:53 AM     all      1.16      0.00      1.16      1.16      1.16     95.35
12:49:54 AM     all      2.30      0.00      1.15      0.00      0.00     96.55
12:49:55 AM     all      5.62      0.00      2.25      0.00      0.00     92.13
12:49:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:49:58 AM     all      0.00      0.00      0.00      5.05      0.00     94.95
12:49:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:50:00 AM     all      0.00      0.00      0.00      0.00      1.00     99.00
12:50:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:50:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
