Linux 3.13.0-105-generic (ip-172-31-5-66) 	01/07/2017 	_x86_64_	(1 CPU)

12:54:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:54:24 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:54:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:27 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:54:28 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:54:29 AM     all      0.99      0.00      0.00      0.99      0.00     98.02
12:54:30 AM     all      1.98      0.00      0.99      0.00      0.00     97.03
12:54:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:33 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:54:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:38 AM     all      0.99      0.00      0.00      0.00      0.00     99.01
12:54:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:40 AM     all      0.00      0.00      0.00      0.00      1.00     99.00
12:54:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:54:43 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:54:44 AM     all      0.99      0.00      0.99      0.00      0.00     98.02
12:54:45 AM     all      4.04      0.00      0.00      0.00      0.00     95.96
12:54:46 AM     all      1.11      0.00      1.11      0.00      0.00     97.78
12:54:47 AM     all      3.37      0.00      1.12      0.00      1.12     94.38
12:54:48 AM     all      0.00      0.00      1.19      0.00      0.00     98.81
12:54:49 AM     all      3.33      0.00      3.33      2.22      0.00     91.11
12:54:50 AM     all      2.30      0.00      1.15      0.00      1.15     95.40
12:54:51 AM     all      1.15      0.00      2.30      0.00      0.00     96.55
12:54:52 AM     all      4.55      0.00      1.14      0.00      1.14     93.18
12:54:53 AM     all      2.25      0.00      3.37      0.00      0.00     94.38
12:54:54 AM     all      3.41      0.00      1.14      3.41      1.14     90.91
12:54:55 AM     all      2.27      0.00      2.27      0.00      0.00     95.45
12:54:56 AM     all      0.00      0.00      2.30      0.00      1.15     96.55
12:54:57 AM     all      1.16      0.00      1.16      0.00      0.00     97.67
12:54:58 AM     all      4.60      0.00      1.15      0.00      0.00     94.25
12:54:59 AM     all      2.33      0.00      0.00      1.16      1.16     95.35
12:55:00 AM     all      3.26      0.00      3.26      0.00      2.17     91.30
12:55:01 AM     all      3.41      0.00      1.14      1.14      0.00     94.32
12:55:02 AM     all      4.44      0.00      1.11      0.00      1.11     93.33
12:55:03 AM     all      2.30      0.00      1.15      0.00      0.00     96.55
12:55:04 AM     all      2.17      0.00      2.17      8.70      0.00     86.96
12:55:05 AM     all      0.00      0.00      2.20      0.00      1.10     96.70
12:55:06 AM     all      2.00      0.00      0.00      0.00      0.00     98.00
12:55:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:08 AM     all      0.00      0.00      1.00      0.00      0.00     99.00
12:55:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:10 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:55:11 AM     all      5.00      0.00      0.00      0.00      0.00     95.00
12:55:12 AM     all      6.06      0.00      0.00      0.00      0.00     93.94
12:55:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:14 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
12:55:15 AM     all      1.01      0.00      0.00      0.00      0.00     98.99
12:55:16 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:19 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:55:20 AM     all      0.00      0.00      0.00      1.00      0.00     99.00
12:55:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:27 AM     all      0.99      0.00      0.00      0.00      0.99     98.02
12:55:28 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:29 AM     all      1.00      0.00      0.00      0.00      0.00     99.00
12:55:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
12:55:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
